"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Anser albifrons","Greater White-fronted Goose","Oie rieuse","Lincoln Estimates of Population Size","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N",130,"ARCTIC"
"Anser caerulescens","Snow Goose","Oie des neiges","Christmas Bird Count (CBC)","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N",160,"USACAN"
"Anser rossii","Ross's Goose","Oie de Ross","Lincoln Estimates of Population Size","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N",170,"Arctic"
"Branta bernicla","Brant","Bernache cravant","Christmas Bird Count (CBC)","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N",180,"USACAN"
"Branta hutchinsii","Cackling Goose","Bernache de Hutchins","Lincoln Estimates of Population Size","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N",220,"NorthAmerica"
"Branta canadensis","Canada Goose","Bernache du Canada","North American Breeding Bird Survey (BBS)","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",230,"Canada"
"Cygnus olor","Mute Swan","Cygne tuberculé","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",270,"CAN"
"Cygnus buccinator","Trumpeter Swan","Cygne trompette","North American Breeding Bird Survey (BBS)","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",280,"Canada"
"Cygnus columbianus","Tundra Swan","Cygne siffleur","Christmas Bird Count (CBC)","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N",290,"USACAN"
"Aix sponsa","Wood Duck","Canard branchu","North American Breeding Bird Survey (BBS)","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",360,"Canada"
"Mareca strepera","Gadwall","Canard chipeau","Waterfowl Breeding Population and Habitat Survey in Western Canada and the Northwestern United States","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",390,"CANPRAIRIE_WBOREAL"
"Mareca penelope","Eurasian Wigeon","Canard siffleur","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",410,"USACAN"
"Mareca americana","American Wigeon","Canard d'Amérique","Waterfowl Breeding Population and Habitat Survey in Western Canada and the Northwestern United States","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",420,"CANPRAIRIE_WBOREAL"
"Anas rubripes","American Black Duck","Canard noir","North American Breeding Bird Survey (BBS)","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",440,"Canada"
"Anas platyrhynchos","Mallard","Canard colvert","North American Breeding Bird Survey (BBS)","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",451,"Canada"
"Spatula discors","Blue-winged Teal","Sarcelle à ailes bleues","North American Breeding Bird Survey (BBS)","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",520,"Canada"
