groupName,groupID,year,log_scale_indicator,log_scale_indicator_sd,log_scale_indicator_lci,log_scale_indicator_uci,percent_diff,percent_diff_lci,percent_diff_uci,q5,q10,q20,q25,q75,q80,q90,q95,p_decrease,p_increase,plotting_name
Waterfowl: All,33,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waterfowl
Waterfowl: All,33,1971,-1.711e-4,0.003964,-0.008141,0.007834,-0.01711,-0.8108,0.7865,-0.0063911955,-0.004665904,-0.003001414,-0.0023808375,0.00205421,0.002658754,0.004334925,0.006012089,0.5223125,0.4776875,Waterfowl
Waterfowl: All,33,1972,-6.984e-5,0.005626,-0.01132,0.01135,-0.006984,-1.126,1.142,-0.008979554499999999,-0.006721067,-0.004332585999999999,-0.0034164275000000003,0.0032783075,0.004099176,0.006620102,0.008971502000000001,0.50875,0.49125,Waterfowl
Waterfowl: All,33,1973,3.055e-4,0.006993,-0.01371,0.01434,0.03055,-1.362,1.444,-0.010792179999999998,-0.008148276999999999,-0.005110015999999999,-0.0040015175,0.00452555,0.005617584000000002,0.008742347999999999,0.011692784999999992,0.479625,0.520375,Waterfowl
Waterfowl: All,33,1974,5.866e-4,0.008557,-0.01663,0.01789,0.05868,-1.649,1.805,-0.013180615,-0.009805686999999999,-0.006065081999999999,-0.00473612,0.0058194525,0.007142690000000001,0.01090862000000001,0.01445276499999999,0.470125,0.529875,Waterfowl
Waterfowl: All,33,1975,0.001065,0.01167,-0.02239,0.025,0.1066,-2.214,2.532,-0.017886035,-0.012999819999999999,-0.007863656,-0.005952095000000001,0.0080225575,0.009828876,0.015209470000000003,0.020204284999999992,0.459625,0.540375,Waterfowl
Waterfowl: All,33,1976,0.00136,0.0198,-0.03813,0.04033,0.136,-3.741,4.115,-0.03122678,-0.02302069,-0.013985540000000001,-0.010871975,0.013719275,0.017069900000000002,0.02588435000000001,0.03367284499999999,0.4705,0.5295,Waterfowl
Waterfowl: All,33,1977,0.003677,0.03086,-0.05687,0.06477,0.3684,-5.528,6.692,-0.04671261499999999,-0.035484419999999996,-0.021510399999999995,-0.016408500000000003,0.023804850000000002,0.028779600000000002,0.042174670000000004,0.05414417499999998,0.445125,0.554875,Waterfowl
Waterfowl: All,33,1978,0.007266,0.0416,-0.07418,0.08946,0.7293,-7.15,9.358,-0.061207365,-0.045725180000000004,-0.026939599999999998,-0.0196906,0.034941324999999995,0.041730540000000024,0.059921880000000004,0.07597651999999994,0.428375,0.571625,Waterfowl
Waterfowl: All,33,1979,0.01148,0.05189,-0.09126,0.1138,1.154,-8.722,12.05,-0.07370199499999999,-0.05446037,-0.03172754,-0.023257375,0.045811375,0.05448464,0.07788871,0.09696168499999999,0.4115625,0.5884375,Waterfowl
Waterfowl: All,33,1980,0.01573,0.06235,-0.1049,0.1374,1.585,-9.963,14.73,-0.08678130499999999,-0.06400159999999999,-0.03697499999999999,-0.026406825000000002,0.058145050000000004,0.0683405,0.09532054000000002,0.11729545,0.3979375,0.6020625,Waterfowl
Waterfowl: All,33,1981,0.02087,0.07159,-0.1203,0.1626,2.109,-11.33,17.66,-0.09681063,-0.07020777,-0.03857128,-0.026645675,0.068153475,0.07994206,0.1115912,0.1393173,0.388,0.612,Waterfowl
Waterfowl: All,33,1982,0.02641,0.08031,-0.1301,0.1838,2.676,-12.2,20.18,-0.1062244,-0.07639081,-0.04083089999999999,-0.0269879,0.079881125,0.09334242000000001,0.12962279999999998,0.15866075,0.3735625,0.6264375,Waterfowl
Waterfowl: All,33,1983,0.03104,0.08855,-0.1398,0.205,3.153,-13.04,22.75,-0.11290294999999999,-0.08155638,-0.04318448,-0.0288999,0.0898663,0.10557820000000002,0.1450422,0.17703414999999995,0.366,0.634,Waterfowl
Waterfowl: All,33,1984,0.03706,0.09544,-0.1486,0.2258,3.775,-13.81,25.33,-0.1169291,-0.08388708,-0.04280818,-0.027136975,0.10059225,0.1178254,0.15995620000000005,0.1950014499999999,0.3509375,0.6490625,Waterfowl
Waterfowl: All,33,1985,0.04414,0.1026,-0.1554,0.2479,4.513,-14.39,28.14,-0.12392645000000001,-0.08667175,-0.04152466,-0.025059375000000002,0.11256725,0.13047060000000002,0.17567350000000007,0.21311549999999993,0.336125,0.663875,Waterfowl
Waterfowl: All,33,1986,0.0528,0.1083,-0.1556,0.2657,5.422,-14.41,30.43,-0.12288284999999999,-0.0837251,-0.038439539999999994,-0.021190275,0.12537625000000002,0.1433894,0.19320040000000002,0.23102505,0.3131875,0.6868125,Waterfowl
Waterfowl: All,33,1987,0.06322,0.1129,-0.1563,0.2851,6.526,-14.47,32.98,-0.1199706,-0.07952127,-0.032295779999999996,-0.01390605,0.138813,0.15769720000000004,0.20737940000000005,0.24955539999999996,0.287375,0.712625,Waterfowl
Waterfowl: All,33,1988,0.07429,0.1171,-0.154,0.3065,7.712,-14.27,35.87,-0.1161444,-0.07360144,-0.0240142,-0.0058915025,0.15265625,0.17257260000000005,0.22594800000000004,0.26762054999999996,0.2651875,0.7348125,Waterfowl
Waterfowl: All,33,1989,0.08643,0.1207,-0.1469,0.326,9.028,-13.66,38.54,-0.10911844999999999,-0.06598675,-0.0151402,0.00430817,0.16706549999999998,0.18870100000000004,0.242374,0.28651749999999987,0.238625,0.761375,Waterfowl
Waterfowl: All,33,1990,0.09935,0.1244,-0.1445,0.3467,10.45,-13.45,41.44,-0.10296385,-0.057636879999999995,-0.004513537999999995,0.015335625,0.1831205,0.2036832,0.2593708,0.30558689999999994,0.2128125,0.7871875,Waterfowl
Waterfowl: All,33,1991,0.1125,0.1276,-0.135,0.3668,11.9,-12.63,44.31,-0.09676535,-0.04940251,0.005436072,0.02709005,0.196818,0.21879220000000002,0.27659480000000003,0.32287224999999997,0.1885,0.8115,Waterfowl
Waterfowl: All,33,1992,0.1258,0.1302,-0.1283,0.3837,13.4,-12.04,46.78,-0.08781422,-0.038393580000000004,0.01631538,0.038334225,0.21091000000000001,0.23479260000000002,0.29517830000000006,0.3401667,0.1656875,0.8343125,Waterfowl
